toi,tid,tfopwg_disp,ra,dec,pl_rade,pl_orbper,pl_trandurh,pl_trandep,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate,in_habitable_zone,is_planet,planet_size_category_Earth-sized,planet_size_category_Jupiter-sized,planet_size_category_Neptune-sized,planet_size_category_Super-Earth,star_temp_category_G-dwarf,star_temp_category_Hot-star,star_temp_category_K-dwarf,star_temp_category_M-dwarf
2515.01,123627908,PC,89.293899,-18.672245,13.6737,5.9016526,2.417,2450.0,826.195,1493.0,10.1083,281.448,6127.0,4.02,1.74,2021-03-02 22:28:41,2021-10-29 12:59:15,0,1,False,True,False,False,True,False,False,False
2516.01,295947393,APC,109.0444,-17.453065,18.5905,5.4927168,7.906,5290.0,14464.4,1183.01373235,9.9552,545.079,9623.0,4.08,2.37,2021-03-02 22:28:41,2025-01-08 12:03:11,0,0,False,True,False,False,False,True,False,False
2517.01,48178229,FP,99.172585,-23.309761,5.07891,2.6788253,2.49,350.0,1476.0,1726.0,10.0386,403.768,6863.0,3.93,2.19,2021-03-02 22:28:41,2021-10-29 12:59:15,0,0,False,False,True,False,False,True,False,False
2518.01,96925186,PC,105.44485,-34.919687,2.18563,6.8979432,3.401,550.0,239.133,1095.0,10.2282,160.825,6016.0,4.49,0.99,2021-03-02 22:28:41,2023-04-04 16:02:02,0,1,False,False,False,True,True,False,False,False
2519.01,47720259,PC,97.891717,-23.951598,2.29124,6.9551801,2.062,770.0,38.0097,691.0,10.2807,81.856,4742.0,4.57,0.75,2021-03-02 22:28:41,2021-10-29 12:59:15,0,1,False,False,False,True,False,False,True,False
252.01,237924601,APC,57.553653,-63.053919,5.0155627,1.0021853,0.5001924,2319.9972324,1409.4020834,1562.7103079,11.7497,190.596,5071.0,4.48308,0.874822,2018-12-04 21:48:18,2023-07-12 10:10:02,0,0,False,False,True,False,False,False,True,False
2520.01,177414713,PC,106.841463,-11.436773,1.39836,2.0944084,4.133,320.0,3407.6,2128.0,9.859901,87.4053,5298.0,4.62,0.77,2021-03-02 22:28:41,2021-12-19 12:02:11,0,1,True,False,False,False,False,False,True,False
2521.01,72556406,APC,93.529144,-8.062309,9.04133,5.563087,4.533,2520.0,494.188,1313.0,10.8218,341.347,5491.4,3.85,1.72,2021-03-02 22:28:42,2021-10-29 12:59:15,0,0,False,True,False,False,False,False,True,False
2522.01,148883384,PC,107.118513,-12.147866,1.66554,2.0988541,4.365,350.0,2840.05,2033.0,9.1239,84.5017,5531.0,4.45,0.97,2021-03-02 22:28:42,2022-07-06 12:02:40,0,1,False,False,False,True,True,False,False,False
2523.01,443213925,PC,95.809871,-11.348617,2.86438,4.6410823,2.849,660.0,344.881,1200.0,10.1424,166.257,5809.0,4.36,1.12,2021-03-02 22:28:42,2021-10-29 12:59:15,0,1,False,False,False,True,True,False,False,False
2524.01,169249234,CP,160.886843,-1.912698,13.1612,7.1858029,4.2542613,11192.4995247,210.609,1061.0,12.1772,438.842,5758.3,4.3,1.19,2021-03-02 22:57:47,2024-06-06 10:08:02,0,1,False,True,False,False,True,False,False,False
2525.01,149601126,CP,86.850974,-60.521308,9.7267129,23.3418536,6.4129373,6473.602151,16.3642505,512.9721403,13.4006,395.398,4944.0,4.51,0.824284,2021-03-02 22:57:47,2024-09-18 10:08:02,0,1,False,True,False,False,False,False,True,False
2525.02,149601126,CP,86.850974,-60.521308,10.3670919,49.2445599,6.5807145,15606.4614867,6.0478205,399.9626824,13.4006,395.398,4944.0,4.51,0.824284,2021-03-02 22:57:47,2024-10-04 10:08:02,0,1,False,True,False,False,False,False,True,False
2526.01,380836882,PC,270.134849,-65.613808,11.7844,8.011385,5.197,7890.0,429.98,1268.0,11.0586,302.145,5923.0,4.25,1.29,2021-03-02 22:57:47,2023-01-24 16:02:02,0,1,False,True,False,False,True,False,False,False
2527.01,126572546,PC,136.653301,-50.48045,12.146,2.3018922,3.706,1260.0,4411.81,2270.0,11.1673,743.085,6919.0,3.54,3.45,2021-03-02 22:57:47,2025-07-09 16:00:02,0,1,False,True,False,False,False,True,False,False
2528.01,83154030,PC,188.834597,-18.029479,8.72604,11.7248927,5.928,8540.0,206.968,1056.0,12.9363,513.431,5980.0,4.56,0.91,2021-03-02 22:57:47,2023-01-25 10:10:01,0,1,False,True,False,False,True,False,False,False
2529.01,269333648,CP,118.994535,-52.354833,10.9718,4.09008295,8.943,4240.0,70.9731,808.0,10.6693,296.271,5822.0,3.97,1.75,2021-03-02 22:57:47,2024-01-19 12:02:52,0,1,False,True,False,False,True,False,False,False
253.01,322063810,PC,14.318503,-51.585251,1.328654,3.5104148,2.0,308.8285985,64.709886,723.3731892,9.3626,30.8431,4020.0,4.438,0.639371,2018-11-29 21:52:42,2024-12-05 16:02:02,0,1,True,False,False,False,False,False,True,False
2530.01,52059926,PC,16.772687,-68.368103,11.1787,4.09008295,4.646,21624.0,4.48015,405.0,12.7296,216.581,4490.0,4.55,0.74,2021-03-02 22:57:47,2021-10-29 12:59:15,0,1,False,True,False,False,False,False,True,False
2531.01,262843259,PC,52.531218,-60.875623,10.1405034,8.1484094,3.168587,13497.6071224,91.987019,789.8623006,12.4329,314.693,5320.0,4.52,0.873132,2021-03-02 22:57:47,2024-11-01 12:03:14,0,1,False,True,False,False,False,False,True,False
2532.01,20579360,PC,201.167653,-19.89616,9.46753,16.7224532,4.223,11640.0,44.9403,721.0,12.646,363.49,5560.0,4.54,0.88,2021-03-02 22:57:47,2023-01-24 16:02:02,0,1,False,True,False,False,True,False,False,False
2533.01,418012030,PC,212.638797,26.42343,9.65352,6.6857865,2.896,6690.0,171.835,1008.0,11.6417,368.409,6144.3,4.4,1.13,2021-03-02 22:57:48,2023-03-07 12:02:42,0,1,False,True,False,False,True,False,False,False
2534.01,219332978,PC,338.644613,-57.570425,12.0956,4.09008295,8.475,5180.0,174.059,1011.0,10.8209,392.929,6421.5,4.12,1.64,2021-03-02 22:57:48,2021-10-29 12:59:15,0,1,False,True,False,False,True,False,False,False
